id,status,reason,n_lig,n_poc,mw
1c86,ok,,18,307,271.01505800800004
1c87,ok,,18,303,271.01505800800004
1c88,ok,,18,305,271.03831887209003
1cbx,ok,,15,381,208.073558864
1ceb,ok,,11,234,158.11755517209
1cet,filtered,rot_bonds_ok,0,0,320.18880196409
1bju,ok,,21,258,288.077788716
1bjv,ok,,27,216,346.14297581600005
1bm7,ok,,20,366,281.06636322
1bma,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,521.27340209209
1bn1,ok,,21,308,346.011569928
1bn3,ok,,23,306,371.990834484
1bn4,ok,,22,301,362.00648454799995
1bnn,ok,,23,309,374.0064845479999
1bnq,ok,,22,310,370.05596016008997
1bnt,ok,,24,297,390.001399168
1dif,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,830.4290879519999
1dl7,ok,,20,229,305.08969934609
1dmp,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,536.2787410120001
1dqn,skip,rdkit_parse_failed,0,0,0.0
1drj,ok,,10,429,150.05282342
1drk,ok,,10,421,150.05282342
1drv,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,664.1295229
1dud,ok,,24,250,388.00728252799985
1duv,filtered,rot_bonds_ok,0,0,291.05226828209004
1dy4,ok,,19,342,258.14885530009
1d6w,skip,rdkit_parse_failed,0,0,0.0
1d7i,ok,,6,296,124.001656876
1d7j,ok,,6,309,88.052429496
1d9i,filtered,heavy_atoms_ok,0,0,476.19621648008984
1dar,ok,,28,236,443.0243295600001
1det,ok,,24,177,363.05799903800005
1df8,ok,,16,372,244.088163372
1dgm,ok,,19,310,267.096753896
1dhi,filtered,"rot_bonds_ok,heavy_atoms_ok",0,0,454.1713158039999
1dhj,filtered,"rot_bonds_ok,heavy_atoms_ok",0,0,454.1713158039999
1fzo,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,949.47779394009
1fzq,ok,,28,232,443.0243295600001
1g1d,ok,,21,303,308.063091496
1g2k,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,631.2352215239999
1g2l,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,525.248837852
1g2o,skip,rdkit_parse_failed,0,0,0.0
1g30,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,525.248837852
1g32,filtered,heavy_atoms_ok,0,0,423.21714380000003
1g35,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,662.2298017960001
1g36,filtered,heavy_atoms_ok,0,0,423.21714380000003
1ado,ok,,10,318,169.998024574
1afk,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,506.99574546200006
1afl,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,506.99574546200006
1ai4,ok,,12,344,168.042258736
1ai5,ok,,13,349,181.037507704
1ai7,ok,,7,401,94.041864812
1aid,ok,,29,228,452.12793883609004
1aj7,filtered,rot_bonds_ok,0,0,303.05078841799997
1ajn,ok,,13,345,181.037507704
1ajp,ok,,12,350,168.042258736
1fm9,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,546.21547206
1fo0,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,983.48327324409
1fpc,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,502.27261007600015
1fq5,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,839.4621846719999
1ft7,ok,,10,328,168.07840639008998
1ftm,ok,,13,421,187.07133325209
1fv0,ok,,26,284,357.04846631199996
1fzj,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,955.4995920040901
1fzk,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,949.47779394009
1fzm,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,955.4995920040901
1fjs,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,526.1776243080001
1fkb,filtered,"mw_ok,heavy_atoms_ok",0,0,913.555141588
1fkf,filtered,"mw_ok,heavy_atoms_ok",0,0,803.4819766480003
1fkg,filtered,"rot_bonds_ok,heavy_atoms_ok",0,0,449.2566086
1fkh,filtered,"rot_bonds_ok,heavy_atoms_ok",0,0,455.303558792
1fki,filtered,heavy_atoms_ok,0,0,437.27773796799994
1fkn,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,893.4614751800901
1fkw,ok,,18,370,252.085854864
1fl3,ok,,23,391,309.13649346799997
1flr,ok,,25,294,332.0684734839999
1ghv,skip,rdkit_parse_failed,0,0,0.0
1ghw,skip,rdkit_parse_failed,0,0,0.0
1ghy,skip,rdkit_parse_failed,0,0,0.0
1ghz,skip,rdkit_parse_failed,0,0,0.0
1gi1,skip,rdkit_parse_failed,0,0,0.0
1gi4,skip,rdkit_parse_failed,0,0,0.0
1gi7,skip,rdkit_parse_failed,0,0,0.0
1gj6,skip,rdkit_parse_failed,0,0,0.0
1gjc,skip,rdkit_parse_failed,0,0,0.0
1gnm,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,596.4009813840001
1ezq,filtered,"rot_bonds_ok,heavy_atoms_ok",0,0,459.23906727209004
1f0r,filtered,heavy_atoms_ok,0,0,453.092931468
1f0s,skip,rdkit_parse_failed,0,0,0.0
1f0t,ok,,31,225,445.087846088
1f0u,filtered,"rot_bonds_ok,heavy_atoms_ok",0,0,459.23906727209004
1f3e,ok,,14,342,192.064725496
1f4e,ok,,18,285,269.07217896000003
1f4f,filtered,rot_bonds_ok,0,0,428.0889512199999
1f4g,filtered,"rot_bonds_ok,heavy_atoms_ok",0,0,499.12606499999987
1f4x,ok,,20,238,293.14745207600004
1dzk,ok,,12,406,166.110613068
1e1v,skip,rdkit_parse_failed,0,0,0.0
1e1x,ok,,18,360,251.138224784
1e2k,ok,,18,393,252.111006992
1e2l,ok,,18,377,252.111006992
1e3g,ok,,21,411,284.177630008
1e3v,ok,,28,270,392.29265975999994
1e4h,ok,,12,360,483.5944251520001
1e5j,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,712.1918211880001
1e66,ok,,21,348,298.123676288
1cgl,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,627.36210174818
1ciz,skip,rdkit_parse_failed,0,0,0.0
1cnw,filtered,rot_bonds_ok,0,0,389.14893194009005
1cnx,filtered,rot_bonds_ok,0,0,332.12746822409
1cny,filtered,"rot_bonds_ok,heavy_atoms_ok",0,0,479.19588213209005
1cps,ok,,18,359,240.093248752
1ctt,ok,,16,425,230.090271548
1ctu,ok,,17,433,246.085186168
1d09,ok,,16,404,255.01440291000003
1d2e,ok,,28,273,443.0243295600001
1ele,ok,,29,239,427.133060788
1elr,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,663.2421573720001
1enu,ok,,13,346,177.053826464
1eoc,ok,,11,374,155.02185764
1epo,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,653.360005348
1erb,ok,,24,355,327.256214676
1ew8,ok,,8,319,139.98745989
1ew9,ok,,6,287,127.96970165
1ex8,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,762.0114857639998
1ez9,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,668.237508428
1fch,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,639.3580789881801
1fcx,ok,,29,396,388.20384475599997
1fcy,ok,,29,391,386.18819469199997
1fcz,ok,,27,398,362.1881946919999
1fd0,ok,,30,397,401.199093724
1fh7,ok,,18,282,266.12342840009
1fh8,ok,,17,276,250.12851378009
1fh9,ok,,20,291,294.10631553599995
1fhd,ok,,21,289,302.111400916
1fiv,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,838.4265274359999
1g7f,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,543.221679636
1g7g,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,599.2478943840001
1g7q,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,814.4053572720899
1g7v,filtered,rot_bonds_ok,0,0,414.0560894440899
1g85,ok,,9,407,130.135765196
1g98,ok,,15,360,246.01406856199998
1gaf,filtered,rot_bonds_ok,0,0,303.05078841799997
1gai,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,648.27094005209
1gar,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,715.2036772860002
1gfy,ok,,18,306,286.992214388
1hpv,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,505.2246568399999
1hpx,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,667.2498260320002
1hsh,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,615.3773578881799
1hsl,skip,rdkit_parse_failed,0,0,0.0
1hvh,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,592.30495576
1hvi,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,794.447931576
1hvj,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,778.453016956
1hvk,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,794.447931576
1hvl,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,794.447931576
1hvr,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,606.2882430760001
1hk4,filtered,mw_ok,0,0,777.6939762840899
1hlk,ok,,23,251,322.06886740799996
1hmr,filtered,rot_bonds_ok,0,0,284.271530392
1hms,filtered,rot_bonds_ok,0,0,282.255880328
1hmt,filtered,rot_bonds_ok,0,0,284.271530392
1hn4,filtered,"rot_bonds_ok,heavy_atoms_ok",0,0,492.28276041799995
1hos,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,770.3444512220001
1hp5,ok,,14,352,219.056528896
1hpo,filtered,"mw_ok,heavy_atoms_ok",0,0,504.17189299599994
1hps,skip,rdkit_parse_failed,0,0,0.0
1ec9,ok,,13,400,195.037901628
1ecq,ok,,13,403,194.04265266
1ecv,ok,,16,317,334.929070292
1efy,skip,rdkit_parse_failed,0,0,0.0
1egh,ok,,9,390,155.98237451
1ejn,ok,,26,272,341.22156048400007
1ela,filtered,"rot_bonds_ok,heavy_atoms_ok",0,0,457.24210196409
1elb,filtered,"rot_bonds_ok,heavy_atoms_ok",0,0,473.27340209209
1elc,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,507.25775202809
1eld,filtered,heavy_atoms_ok,0,0,475.133060788
1h6h,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,554.1165582039998
1hbv,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,587.40357263618
1hdq,ok,,16,314,224.079706864
1hee,ok,,16,361,224.079706864
1hfs,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,705.357799856
1hi3,ok,,27,199,427.02941494000015
1hi4,ok,,27,232,427.02941494000015
1hi5,ok,,27,233,427.02941494000015
1hih,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,574.3962961840899
1hii,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,574.3962961840899
1f57,ok,,7,341,122.02702591609
1f5k,ok,,10,349,120.06874825599999
1f5l,ok,,16,335,228.04006052399998
1f73,filtered,rot_bonds_ok,0,0,311.121631252
1f74,filtered,rot_bonds_ok,0,0,293.111066568
1f8b,ok,,20,304,291.095416504
1f8c,ok,,20,304,291.11867736809
1f8d,ok,,20,303,291.11867736809
1f8e,ok,,20,304,291.14193823218
1fao,filtered,rot_bonds_ok,0,0,499.9287101919998
1jys,skip,rdkit_parse_failed,0,0,0.0
1jzs,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,500.2985329879998
1k1i,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,508.178040996
1k1j,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,522.19369106
1k1l,filtered,heavy_atoms_ok,0,0,466.19073717608995
1k1m,filtered,"mw_ok,heavy_atoms_ok",0,0,507.19402540799996
1k1n,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,601.257019588
1k1o,filtered,"rot_bonds_ok,heavy_atoms_ok",0,0,439.30273014809
1k1y,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,646.25528998809
1k21,filtered,"rot_bonds_ok,heavy_atoms_ok",0,0,439.30273014809
1gnn,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,596.4009813840001
1gno,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,596.4009813840001
1gpk,ok,,18,377,243.14918964809
1gpn,ok,,19,368,257.16483971209
1grp,ok,,13,330,192.027002596
1gvw,skip,rdkit_parse_failed,0,0,0.0
1gvx,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,912.4694203281799
1gwv,ok,,23,217,342.11621152399994
1gx8,ok,,21,338,286.22966558
1gyx,ok,,9,311,122.036779432
1g3d,ok,,18,269,235.095691276
1g3e,ok,,18,269,235.095691276
1g45,ok,,21,298,308.063091496
1g46,ok,,22,292,326.053669684
1g48,ok,,22,297,326.053669684
1g4o,ok,,20,291,290.072513308
1g52,ok,,22,293,326.053669684
1g53,ok,,22,302,326.053669684
1g54,ok,,25,279,380.02540424800003
1g74,filtered,rot_bonds_ok,0,0,282.255880328
1gyy,ok,,13,302,182.037922304
1h0a,ok,,24,213,419.9623796699999
1h1s,skip,rdkit_parse_failed,0,0,0.0
1h22,filtered,"rot_bonds_ok,heavy_atoms_ok",0,0,468.34532948818
1h23,filtered,"rot_bonds_ok,heavy_atoms_ok",0,0,496.37662961617997
1h2k,ok,,10,416,147.01677226
1h2t,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,804.1030640419999
1h46,ok,,19,304,257.141578848
1h4w,ok,,10,341,120.06874825599999
1h5v,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,906.1989573680003
1hvs,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,794.447931576
1hwr,filtered,rot_bonds_ok,0,0,406.22564281999996
1hxb,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,671.3915451520899
1hxw,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,720.312760636
1hyo,ok,,11,402,180.018760018
1i1e,filtered,"mw_ok,heavy_atoms_ok",0,0,546.1969872640899
1i2s,ok,,13,300,192.02700259600002
1i37,ok,,21,405,288.208930136
1i5r,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,677.3788489719997
1i7z,ok,,22,333,304.15433460409
1j36,filtered,rot_bonds_ok,0,0,405.22527393218
1j37,ok,,14,300,217.07726434
1j4r,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,624.3010935039999
1jak,ok,,14,351,205.11828344409
1jao,filtered,rot_bonds_ok,0,0,323.13036253200005
1jaq,filtered,rot_bonds_ok,0,0,302.159019804
1jcx,filtered,rot_bonds_ok,0,0,414.0560894440899
1jet,filtered,rot_bonds_ok,0,0,348.25943382826995
1jeu,filtered,rot_bonds_ok,0,0,406.26491313226995
1jev,skip,rdkit_parse_failed,0,0,0.0
1ik4,ok,,10,398,170.993273542
1ikt,filtered,rot_bonds_ok,0,0,352.26135963199994
1ivp,skip,rdkit_parse_failed,0,0,0.0
1iy7,ok,,16,373,244.051777864
1izh,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,687.363198908
1izi,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,687.363198908
1j01,ok,,18,280,263.10050188400004
1j14,ok,,10,341,120.06874825599999
1j16,ok,,10,328,120.06874825599999
1j17,filtered,heavy_atoms_ok,0,0,498.14923940399996
1jgl,ok,,20,327,272.177630008
1jlr,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,522.9906600820001
1jmf,ok,,20,327,308.04095200599994
1jmg,ok,,20,319,308.04095200599994
1jn4,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,637.0934717399999
1jq8,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,566.3184397880899
1jqy,filtered,"rot_bonds_ok,heavy_atoms_ok",0,0,472.19257058009
1jsv,ok,,18,334,265.063345592
1jvu,ok,,22,268,323.051851038
1jyq,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,781.1761387440001
1k22,filtered,"rot_bonds_ok,heavy_atoms_ok",0,0,430.24488092409007
1k27,skip,rdkit_parse_failed,0,0,0.0
1k4g,skip,rdkit_parse_failed,0,0,0.0
1k4h,ok,,18,334,264.104482132
1k6c,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,615.3773578881799
1k6p,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,658.37193816018
1k6t,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,629.3930079521798
1k6v,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,672.3875882241799
1k9s,ok,,20,375,281.11240396
1kav,ok,,30,174,466.03582437199987
1i9n,ok,,22,293,326.053669684
1i9p,ok,,23,300,344.044247872
1ie9,ok,,30,369,416.32904526799996
1if7,ok,,26,263,371.13036253200005
1if8,ok,,26,246,371.13036253200005
1igb,ok,,14,313,306.99380204409
1igj,filtered,"mw_ok,heavy_atoms_ok",0,0,520.3036183679999
1ii5,ok,,10,394,148.06043422009
1iih,ok,,11,374,185.992939194
1iiq,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,703.3813743920899
1kui,skip,rdkit_parse_failed,0,0,0.0
1kuk,skip,rdkit_parse_failed,0,0,0.0
1kv1,ok,,21,328,306.124738908
1kv5,ok,,9,381,155.98237451
1kyv,ok,,27,307,376.1382843599999
1kzk,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,575.245392284
1kzn,skip,rdkit_parse_failed,0,0,0.0
1l83,ok,,6,446,78.046950192
1l8g,filtered,heavy_atoms_ok,0,0,466.014072028
1laf,ok,,13,388,175.11895214009
1m7d,filtered,"mw_ok,heavy_atoms_ok",0,0,511.2264902439999
1m7i,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,819.3372224640002
1m7y,filtered,rot_bonds_ok,0,0,393.1290041981799
1m83,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,506.99574546200006
1mai,ok,,24,206,419.9623796699999
1mes,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,566.278072316
1met,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,566.278072316
1mfa,filtered,heavy_atoms_ok,0,0,486.1948557679998
1mfd,filtered,heavy_atoms_ok,0,0,486.1948557679998
1mfi,ok,,13,371,182.037922304
1lhu,ok,,20,421,272.177630008
1li2,ok,,7,448,94.041864812
1li3,ok,,8,436,128.00289246
1li6,skip,rdkit_parse_failed,0,0,0.0
1lke,ok,,28,337,390.24062418799997
1lkk,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,674.220038558
1lkl,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,618.157438302
1lnm,ok,,27,336,374.24570956799994
1loq,ok,,21,332,324.03586662600003
1lpg,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,546.2863518120901
1kc7,ok,,10,325,167.98237451
1kdk,ok,,21,417,290.2245802
1kel,filtered,rot_bonds_ok,0,0,347.10026403009
1kjr,filtered,"mw_ok,rot_bonds_ok,heavy_atoms_ok",0,0,588.157837216
1km3,ok,,21,323,325.0311155939999
